State                        , Sector                                                                                                   , Project Count, Cost (Cr)
(MoRTH)                      , Uttar Pradesh                                                                                            ,             0,      7
(MoRTH)                      , Uttar Pradesh                                                                           Uttar Pradesh    ,             0,     81.18
(PAIMANA)                    , Uttar Pradesh                                                                                            ,           232,     83.88
(PAIMANA)                    , Uttarakhand                                                                                              ,             0,      0.3
(PAIMANA)                    , Uttarakhand                                                                                              ,             0,     99
(PAIMANA)                    , Uttarakhand                                                                                              ,             0,     17.78
(PAIMANA)                    , Uttarakhand                                                                                              ,             0,     42
(MoRTH)                      , Uttarakhand                                                                                              ,             0,     52
(MoRTH)                      , Uttarakhand                                                                                              ,             0,     20.78
(MoRTH)                      , km                                                                Uttarakhand                            ,             0,     35.6
(MoRTH)                      , Uttarakhand                                                                                              ,             0,     81.17
(MoRTH)                      , Uttarakhand                                                                                              ,             0,     29.72
(MoRTH)                      , Uttarakhand                                                                                              ,             0,     96.46
(MoRTH)                      , Uttarakhand                                                                                              ,             0,    100
(MoRTH)                      , Uttarakhand                                                                                              ,             0,     78.2
(NHIDCL)                     , Uttarakhand                                                                                              ,             0,     52.51
(NHIDCL)                     , Uttarakhand                                                                                              ,             0,      0
(NHIDCL)                     , West Bengal                                                                                              ,             0,     98.54
Farakka-Raiganj              , West Bengal                                                                                              ,             0,      2.5
(MoRTH)                      , in the State of West Bengal on EPC mode                                                  West Bengal     ,             0,     22.33
Sector - Overview            , Roads & Highways                                                                                         ,          1149,      1
Sector - Overview            , Railways                                                                                                 ,           263,    731
Sector - Overview            , Urban Public Transport                                                                                   ,            29,    307
Sector - Overview            , Aviation & Aviation Infrastructure                                                                       ,            26,     21
Sector - Overview            , Shipping                                                                                                 ,             6,     14
Sector - Overview            , Logistics Infrastructure                                                                                 ,             2,      2
Sector - Overview            , Inland Waterways                                                                                         ,             1,      5
Sector - Overview            , Oil & Gas                                                                                                ,            93,    362
Sector - Overview            , Transmission & Distribution                                                                              ,            67,    203
Sector - Overview            , Electricity Generation                                                                                   ,            38,    350
Sector - Overview            , Energy Storage                                                                                           ,            16,     80
Sector - Overview            , Water Resources                                                                                          ,            32,     98
Sector - Overview            , Waste & Water                                                                                            ,            24,      8
Sector - Overview            , Telecommunication                                                                                        ,            12,    151
Sector - Overview            , Healthcare                                                                                               ,            44,     22
Sector - Overview            , Education                                                                                                ,            31,     16
Sector - Overview            , Real Estate                                                                                              ,            12,     50
Sector - Overview            , Coal                                                                                                     ,           115,    185
Sector - Overview            , Steel                                                                                                    ,            18,     17
Sector - Overview            , Metals & Mining                                                                                          ,             6,      9
Sector - Overview            , Construction                                                                                             ,             2,    899
(PAIMANA)                    , Water Resources                                                                                          ,            32, 141119
Andhra Pradesh               , Bihar                                                              Waste & Water                         ,             5,   1303.45
Chhattisgarh                 , Gujarat                   Ministry of Civil Aviation           Aviation & Aviation Infrastructure        ,             2,   1010.66
Maharashtra                  , Nagaland            Ministry of Petroleum & Natural Gas                  Oil & Gas                       ,             2,   6922.37
Tripura                      , Uttar Pradesh                                                        Water Resources                     ,             3,  13221.80
Establishment of NIT Nagaland, Sikkim                                                                                                   ,           292,     95.5
(MoRTH)                      , Arunachal Pradesh                                                                                        ,             0,      1.71
(NHIDCL)                     , Balance Work                                                                        Arunachal Pradesh    ,             0,     18.63
(NHIDCL)                     , Arunachal Pradesh                                                                                        ,             0,      1.7
(NHIDCL)                     , Arunachal Pradesh                                                                                        ,             0,     49.83
(NHIDCL)                     , Arunachal Pradesh                                                                                        ,             0,     21.67
Physical Progress            , Arunachal Pradesh                                                                                        ,             0,     39.5
(MoRTH)                      , Arunachal Pradesh                                                                                        ,             0,     99.69
(NHIDCL)                     , Arunachal Pradesh                                                                                        ,             0,     99.52
(NHIDCL)                     , and NH                                                                                                   ,            27,     03
(NHIDCL)                     , Assam                                                                                                    ,             0,     52
(NHIDCL)                     , to Km                                                                                                    ,        490800,     13.800
(NHIDCL)                     , to Km                                                                                                    ,        463000,     10.000
(NHIDCL)                     , Assam                                                                                                    ,             0,     85.29
(MoRTH)                      , Assam                                                                                                    ,             0,      2.41
(NHIDCL)                     , Assam                                                                                                    ,             0,     30.8
(NHIDCL)                     , Churaibari stretch in the State of Assam on EPC Mode under Bharatmala               Assam                ,             0,     57.17
(NHIDCL)                     , Assam                                                                                                    ,             0,     31.83
(NHIDCL)                     , Assam                                                                                                    ,             0,     11
(NHIDCL)                     , Assam                                                                                                    ,             0,      0
(NHIDCL)                     , Assam                                                                                                    ,             0,     98.41
(NHIDCL)                     , Assam                                                                                                    ,             0,      0
(NHIDCL)                     , Assam                                                                                                    ,             0,     20.45
(NHIDCL)                     , Manipur                                                                                                  ,             0,     88.85
(NHIDCL)                     , Manipur                                                                                                  ,             0,     97.12
(NHIDCL)                     , Manipur                                                                                                  ,             0,     90.72
(MoRTH)                      , Meghalaya                                                                                                ,             0,      2.5
Physical Progress            , to Km                                                                                                    ,        151060,     03
(NHIDCL)                     , Meghalaya                                                                                                ,             0,     98.72
(NHIDCL)                     , Meghalaya                                                                                                ,             0,     50.66
(NHIDCL)                     , Meghalaya                                                                                                ,             0,     41.42
(NHIDCL)                     , Mizoram                                                                                                  ,             0,     17.12
(NHIDCL)                     , Mizoram                                                                                                  ,             0,     18.9
(NHIDCL)                     , Mizoram                                                                                                  ,             0,     13.95
(NHIDCL)                     , Mizoram                                                                                                  ,             0,      0
(NHIDCL)                     , state of Mizoram under Bharatmala Pariyojana on EPC mode                                 Mizoram         ,             0,      0
(NHIDCL)                     , Mizoram                                                                                                  ,             0,      0
(NHIDCL)                     , Mizoram                                                                                                  ,             0,      0
(NHIDCL)                     , of NH                                                                                                    ,            61,     06
(NHIDCL)                     , Nagaland                                                                                                 ,             0,     44.46
(NHIDCL)                     , Nagaland                                                                                                 ,             0,      0
(NHIDCL)                     , Km in the state of Nagaland Under Bharatmala Pariyojna on EPC        Nagaland                            ,             0,     43.13
(NHIDCL)                     , Sikkim                                                                                                   ,             0,     81.89
(NHIDCL)                     , Sikkim                                                                                                   ,             0,     86.04
(NHIDCL)                     , Sikkim                                                                                                   ,             0,     90
(NHIDCL)                     , Tripura                                                                                                  ,             0,     14.1
(NHIDCL)                     , in     Tripura                                                                                           ,             0,     60.05
(NHIDCL)                     , Tripura                                                                                                  ,             0,     58.12
(NHIDCL)                     , shoulder on EPC bais under NHO                                                    Tripura                ,             0,      0
(-) (-)                      , Uttar Pradesh                                                                                            ,             0,      0
Sikkim                       , Sikkim                                                                                                   ,           292,     95.5
Under PPP Mode               , Gujarat                                                                                                  ,          2385,     60
Rewas Port Project           , West Bengal                                                                                              ,             0,      0
Logistics Infrastructure     , Haryana                                                                                                  ,           430,     60
Logistics Infrastructure     , Uttar Pradesh                                                                                            ,             0,      0
Gomoh - Flyover for DN trains, Karnataka                                                                                                ,             0,      0
(-) (-)                      , Rajasthan                                                                                                ,             0,      0
Akiveedu                     , Andhra Pradesh                                                                                           ,             0,     69.62
Akiveedu                     , Andhra Pradesh                                                                                           ,             0,     90.97
Akiveedu                     , Andhra Pradesh                                                                                           ,             0,     42.28
Akiveedu                     , Andhra Pradesh                                                                                           ,             0,     23.38
Andhra Pradesh               , Andhra Pradesh                                                                                           ,             0,     18.72
Andhra Pradesh               , Andhra Pradesh                                                                                           ,             0,     26.07
Andhra Pradesh               , Andhra Pradesh                                                                                           ,             0,     99.64
Andhra Pradesh               , Andhra Pradesh                                                                                           ,             0,     37.95
(-) (-)                      , Andhra Pradesh                                                                                           ,             0,     98.6
(-) (-)                      , Arunachal Pradesh                                                                                        ,             0,      1.7
(-) (-)                      , Arunachal Pradesh                                                                                        ,             0,     21.67
(PAIMANA)                    , Arunachal Pradesh                                                                                        ,             0,     18.63
(-) (-)                      , Arunachal Pradesh                                                                                        ,             0,      1.71
(-) (-)                      , Assam                                                                                                    ,             0,     18.3
(-) (-)                      , Assam                                                                                                    ,             0,      2.41
(PAIMANA)                    , Assam                                                                                                    ,             0,     12.45
(PAIMANA)                    , Assam                                                                                                    ,             0,     30.8
(PAIMANA)                    , Assam                                                                                                    ,             0,     57.17
(NHIDCL)                     , Assam                                                                                                    ,             0,     14.6
(NHIDCL)                     , Assam                                                                                                    ,             0,     31.83
(NHIDCL)                     , Assam                                                                                                    ,             0,     11
(NHIDCL)                     , Assam                                                                                                    ,             0,     20.45
(PAIMANA)                    , to Km                                                                                                    ,        463000,     10.000
(PAIMANA)                    , to Km                                                                                                    ,        490800,     13.800
(PAIMANA)                    , Kmunder EPC mode in the state of Bihar                                           Bihar                   ,             0,      0.05
(MoRTH)                      , Bihar                                                                                                    ,             0,      0
(-) (-)                      , Bihar                                                                                                    ,             0,     36
(PAIMANA)                    , Bihar                                                                                                    ,             0,     73.69
(PAIMANA)                    , Bihar                                                                                                    ,             0,     50.78
(PAIMANA)                    , Bihar                                                                                                    ,             0,      6.05
(-) (-)                      , Chhattisgarh                                                                                             ,             0,     97.9
(-) (-)                      , to Km                                                                                                    ,         34000,     12
(PAIMANA)                    , to Km                                                                                                    ,         60800,     12
(PAIMANA)                    , to Km                                                                                                    ,         91400,     12
(PAIMANA)                    , to Km                                                                                                    ,        120250,     01
(-) (-)                      , Himachal Pradesh                                                                                         ,             0,     70.03
(PAIMANA)                    , Karnataka                                                                                                ,             0,      0
(-) (-)                      , Karnataka                                                                                                ,             0,     85
(PAIMANA)                    , Karnataka                                                                                                ,             0,     71
(-) (-)                      , Karnataka                                                                                                ,             0,      0
(-) (-)                      , Karnataka                                                                                                ,             0,     65
(PAIMANA)                    , Pradesh on EPC mode                                                                        Madhya Pradesh,             0,     29.09
(-) (-)                      , km in the state of Madhya Pradesh on EPC mode                  Madhya Pradesh                            ,             0,     88
(PAIMANA)                    , Pradesh on EPC mode                                                                   Madhya Pradesh     ,             0,     13.11
(MoRTH)                      , in the state of Maharashtra                                                              Maharashtra     ,             0,    100
(PAIMANA)                    , Dahiwadi Village Bus Stop Design chainage Km               Maharashtra                                   ,             0,     65.57
(MoRTH)                      , km                                      Maharashtra                                                      ,             0,     79.44
(-) (-)                      , in Gondia District in the state of             Maharashtra                                               ,             0,     34.15
(-) (-)                      , of Dhawali to Gadchroli road in        Maharashtra                                                       ,             0,     37
(PAIMANA)                    , mode                                                                                     Maharashtra     ,             0,     93.75
(-) (-)                      , km                                                                                       Maharashtra     ,             0,     49.75
(-) (-)                      , Two lane with paved shoulder configuartion in the state of Maharashtra on EPC mode       Maharashtra     ,             0,     15
(PAIMANA)                    , Works & Rectification works                                                           Manipur            ,             0,     90.72
(PAIMANA)                    , Meghalaya                                                                                                ,             0,     98.72
(-) (-)                      , Mizoram                                                                                                  ,             0,     17.12
(-) (-)                      , of Mizoram on EPC mode                                                                  Mizoram          ,             0,     18.9
(-) (-)                      , Mizoram                                                                                                  ,             0,     13.95
the State of Odisha          , Punjab                                                                                                   ,             0,     45
the State of Odisha          , Punjab                                                                                                   ,             0,     83
(MoRTH)                      , to km                                                                                                    ,        225770,     12
(PAIMANA)                    , to km                                                                                                    ,        260860,     12
(PAIMANA)                    , to km                                                                                                    ,        303900,     12
(PAIMANA)                    , to km                                                                                                    ,        397700,     03
(-) (-)                      , to Km                                                                                                    ,          4604,     03
(-) (-)                      , Tripura                                                                                                  ,             0,     14.1
(-) (-)                      , Tripura                                                                                                  ,             0,     60.05
(NHIDCL)                     , Tripura                                                                                                  ,             0,     58.12
(PAIMANA)                    , km in the state of Uttar Pradesh on EPC mode           Uttar Pradesh                                     ,             0,      6
(-) (-)                      , Annuity Mode HAM in the State of Uttar Pradesh                                          Uttar Pradesh    ,             0,     30.04
(-) (-)                      , Uttar Pradesh                                                                           Uttar Pradesh    ,             0,     81.18
(-) (-)                      , Uttarakhand                                                                                              ,             0,     23.38
(-) (-)                      , km                                                                Uttarakhand                            ,             0,     35.6
(-) (-)                      , Uttarakhand                                                                                              ,             0,     81.17
(-) (-)                      , Pariyojna on EPC Mode                                                                     Uttarakhand    ,             0,     29.72
(MoRTH)                      , in the State of West Bengal on EPC mode                                                    West Bengal   ,             0,     29.33
Sector - Overview            , Railways                                                                                                 ,           260,    696
Sector - Overview            , Aviation & Aviation Infrastructure                                                                       ,            25,     19
Sector - Overview            , Urban Public Transport                                                                                   ,            23,    238
Sector - Overview            , Shipping                                                                                                 ,             9,     15
Sector - Overview            , Inland Waterways                                                                                         ,             3,     68
Sector - Overview            , Oil & Gas                                                                                                ,            95,    355
Sector - Overview            , Transmission & Distribution                                                                              ,            64,    153
Sector - Overview            , Electricity Generation                                                                                   ,            36,    275
Sector - Overview            , Energy Storage                                                                                           ,            18,     81
Sector - Overview            , Water Resources                                                                                          ,            39,     93
Sector - Overview            , Waste & Water                                                                                            ,            32,      9
Sector - Overview            , Telecommunication                                                                                        ,            15,    152
Sector - Overview            , Education                                                                                                ,            31,     16
Sector - Overview            , Healthcare                                                                                               ,            20,     13
Sector - Overview            , Real Estate                                                                                              ,             6,     37
Sector - Overview            , Coal                                                                                                     ,           117,    159
Sector - Overview            , Steel                                                                                                    ,            20,     19
Sector - Overview            , Metals & Mining                                                                                          ,             7,     10
Sector - Overview            , Construction                                                                                             ,             2,    899
(PAIMANA)                    , Water Resources                                                                                          ,            39, 139573
(PAIMANA)                    , Bihar                                                              Water Resources                       ,             2,    598.72
Chhattisgarh                 , Gujarat              Ministry of Housing & Urban Affairs            Urban Public Transport               ,             3,  24589.83
Himachal Pradesh             , Karnataka                                                             Water Resources                    ,             1,   1515.32
Puducherry                   , Punjab              Ministry of Housing & Urban Affairs               Waste & Water                      ,             2,    374.66
Telangana                    , Uttar Pradesh         Department of Telecommunications              Telecommunication                    ,             4,   1106.26
Pradesh)                     , Rajasthan                                                                                                ,           668,     98
Real Estate                  , Delhi                                                                                                    ,             0,      0
Additional Campus of NITPatna, D&E Block S                                                                                              ,            12,      2
(PAIMANA)                    , Madhya Pradesh                                                                                           ,          2033,     17
PRP-VIII [Group-A]           , Telangana                                                                                                ,             0,     10
Healthcare                   , Delhi                                                                                                    ,             0,      0
Healthcare                   , Andhra Pradesh                                                                                           ,           105,     40
Healthcare                   , Karnataka                                                                                                ,             0,      0
Healthcare                   , Maharashtra                                                                                              ,            58,     11
Shipping                     , Karnataka                                                                                                ,            24,     33
(PAIMANA)                    , Rajasthan                                                                                                ,             0,      0
Sector - Overview            , Railways                                                                                                 ,           259,    842
Sector - Overview            , Aviation & Aviation Infrastructure                                                                       ,            26,     23
Sector - Overview            , Urban Public Transport                                                                                   ,            22,    235
Sector - Overview            , Shipping                                                                                                 ,            10,     16
Sector - Overview            , Inland Waterways                                                                                         ,             3,     68
Sector - Overview            , Oil & Gas                                                                                                ,            86,    348
Sector - Overview            , Transmission & Distribution                                                                              ,            68,    150
Sector - Overview            , Electricity Generation                                                                                   ,            36,    273
Sector - Overview            , Energy Storage                                                                                           ,            16,     81
Sector - Overview            , Water Resources                                                                                          ,            39,     93
Sector - Overview            , Waste & Water                                                                                            ,            33,     10
Sector - Overview            , Telecommunication                                                                                        ,            15,    152
Sector - Overview            , Education                                                                                                ,            30,     13
Sector - Overview            , Healthcare                                                                                               ,            19,      8
Sector - Overview            , Real Estate                                                                                              ,             6,     37
Sector - Overview            , Coal                                                                                                     ,           118,    159
Sector - Overview            , Steel                                                                                                    ,            20,     19
Sector - Overview            , Metals & Mining                                                                                          ,            10,     14
Sector - Overview            , Construction                                                                                             ,             3,      1
(PAIMANA)                    , Water Resources                                                                                          ,            39, 138530
Assam                        , Bihar                                                                Waste & Water                       ,             5,   1303.45
Chhattisgarh                 , Gujarat                                                                  Real Estate                     ,             1,     39.63
Puducherry                   , Education                                                                                                ,             2,    290.39
BLOCK E OCP                  , Jharkhand                                                                                                ,             0,      8
Real Estate                  , Delhi                                                                                                    ,             0,      0
UTKAL D AND E COAL BLOCK     , Odisha                                                                                                   ,             0,      0
(PAIMANA)                    , D&E Block S                                                                                              ,            12,      2
IISER BERHAMPUR              , Punjab                                                                                                   ,             0,      0
(PAIMANA)                    , Madhya Pradesh                                                                                           ,          1955,     16
Healthcare                   , Andhra Pradesh                                                                                           ,           105,     40
(PAIMANA)                    , Karnataka                                                                                                ,             0,      0
Healthcare                   , Maharashtra                                                                                              ,            58,      0
JHAJHA - BATIA               , Chhattisgarh                                                                                             ,           376,    100
(PAIMANA)                    , Rajasthan                                                                                                ,             0,      0
in Rs. Crore                 , CIVIL AVIATION                                                                                           ,            38,     26
in Rs. Crore                 , COAL                                                                                                     ,           116,    187
in Rs. Crore                 , DEPARTMENT OF HIGHER EDUCATION                                                                           ,            20,      9
in Rs. Crore                 , DPIIT                                                                                                    ,             2,     24
in Rs. Crore                 , FINANCE                                                                                                  ,             2,    577.27
in Rs. Crore                 , HEALTH AND FAMILY WELFARE                                                                                ,             7,      7
in Rs. Crore                 , HOME AFFAIRS                                                                                             ,             3,      1
in Rs. Crore                 , MINES                                                                                                    ,             8,      7
in Rs. Crore                 , PETROLEUM                                                                                                ,           102,    415
in Rs. Crore                 , POWER                                                                                                    ,           105,    376
in Rs. Crore                 , RAILWAYS                                                                                                 ,           203,    580
in Rs. Crore                 , ROAD TRANSPORT AND HIGHWAYS                                                                              ,           923,    730
in Rs. Crore                 , SHIPPING AND PORTS                                                                                       ,             1,      5
in Rs. Crore                 , STEEL                                                                                                    ,            20,     16
in Rs. Crore                 , TELECOMMUNICATIONS                                                                                       ,             6,     26
in Rs. Crore                 , URBAN DEVELOPMENT                                                                                        ,            24,    253
in Rs. Crore                 , WATER RESOURCES                                                                                          ,            15,     15
in Rs. Crore                 , ANDAMAN AND NICOBAR ISLANDS                                                                              ,             9,      2
in Rs. Crore                 , ANDHRA PRADESH                                                                                           ,           100,    137
in Rs. Crore                 , ARUNACHAL PRADESH                                                                                        ,            14,     45
in Rs. Crore                 , ASSAM                                                                                                    ,            68,     72
in Rs. Crore                 , BIHAR                                                                                                    ,            90,    128
in Rs. Crore                 , CHHATTISGARH                                                                                             ,            50,     75
in Rs. Crore                 , DELHI                                                                                                    ,            21,     90
in Rs. Crore                 , GUJARAT                                                                                                  ,            89,    166
in Rs. Crore                 , HARYANA                                                                                                  ,            24,     60
in Rs. Crore                 , HIMACHAL PRADESH                                                                                         ,            27,     33
in Rs. Crore                 , JAMMU AND KASHMIR                                                                                        ,            53,     73
in Rs. Crore                 , JHARKHAND                                                                                                ,            64,    113
in Rs. Crore                 , KARNATAKA                                                                                                ,            79,    103
